feature,importance
log.citations,0.193
flii,0.14
genus,0.102
main habitat,0.065
synanthropy,0.046
log.tree.cover,0.044
log.rainfall,0.041
canopy,0.04
biome,0.039
no.lat.teeth,0.038
log.crops.cover,0.034
log.ecoregion.breadth,0.032
temp,0.032
log.labrum.length,0.023
temp.range,0.022
subtribe,0.015
ghm,0.013
maxshape_spear,0.013
log.no.ven.teeth,0.012
evi,0.01
wingl_wingw,0.009
log.urban.cover,0.009
log.grass.cover,0.008
log.wind.speed,0.006
wing.length,0.006
log.no.cib.teeth,0.002
log.water.perm.cover,0.001
hypoteeth_spiculate,0.001
log.water.seas.cover,0.001
