,colsample_bytree,gamma,learning_rate,max_depth,n_estimators,scale_pos_weight
0,0.830627904232354,23.87019940947281,0.6289143717820562,7.655356214759148,107.91474664229466,13.21615421965185
1,0.5190138343554772,27.521937081694016,0.5310801729619222,7.149524012244683,142.7723689322136,10.423469064226662
2,0.4384897044799878,13.546158863760246,0.013909145429998868,9.67536904558094,197.69760415987992,14.592143143041504
3,0.9990851347931315,25.55713387620805,0.38623109683681967,3.7292636747210555,166.60208729658314,8.969958653458956
4,0.24981530300690857,11.211924250617304,0.051734598955549244,7.193226959835224,117.47530094463039,7.02949353618052
5,0.5307582028264262,11.045115683502436,0.40392139407795175,5.657483404663469,183.44283735691633,10.762192260625648
6,0.41492881827919076,31.344748465704278,0.8619731554741805,4.31695152261987,119.34240070572845,11.687173329280398
7,0.2019259145577685,15.687661785484451,0.06490290968651374,9.187300438840047,199.0225573275696,12.276427096893869
8,0.6892600679865761,11.495231584414682,0.2751041106016541,1.7740698703502173,107.34423659046995,10.437678191674463
9,0.6675112543489827,39.57270937241142,0.39252452067611077,8.127344495236617,116.73350121206236,14.917759177060182
