,scientificName,decimalLatitude,decimalLongitude
12599,Trichophoromyia ubiquitalis,4.37,-52.32
12600,Trichophoromyia ubiquitalis,4.37,-52.32
12601,Trichophoromyia ubiquitalis,4.37,-52.32
12602,Trichophoromyia ubiquitalis,4.33,-52.35
12603,Trichophoromyia ubiquitalis,4.37,-52.32
12604,Trichophoromyia ubiquitalis,4.33,-52.35
12605,Trichophoromyia ubiquitalis,4.37,-52.32
12606,Trichophoromyia ubiquitalis,4.37,-52.32
12607,Trichophoromyia ubiquitalis,4.37,-52.32
12608,Trichophoromyia ubiquitalis,4.33,-52.35
12609,Trichophoromyia ubiquitalis,4.37,-52.32
12610,Trichophoromyia ubiquitalis,4.37,-52.32
12611,Trichophoromyia ubiquitalis,4.37,-52.32
12612,Trichophoromyia ubiquitalis,4.37,-52.32
12613,Trichophoromyia ubiquitalis,4.37,-52.32
12614,Trichophoromyia ubiquitalis,4.37,-52.32
12615,Trichophoromyia ubiquitalis,4.37,-52.32
12616,Trichophoromyia ubiquitalis,4.37,-52.32
12617,Trichophoromyia ubiquitalis,4.37,-52.32
12618,Trichophoromyia ubiquitalis,4.33,-52.35
12619,Trichophoromyia ubiquitalis,4.33,-52.35
12620,Trichophoromyia ubiquitalis,4.33,-52.35
12621,Trichophoromyia ubiquitalis,4.37,-52.32
12622,Trichophoromyia ubiquitalis,4.33,-52.35
12623,Trichophoromyia ubiquitalis,4.33,-52.35
12624,Trichophoromyia ubiquitalis,4.37,-52.32
12625,Trichophoromyia ubiquitalis,4.37,-52.32
12626,Trichophoromyia ubiquitalis,4.33,-52.35
12627,Trichophoromyia ubiquitalis,4.37,-52.32
12628,Trichophoromyia ubiquitalis,4.33,-52.35
12629,Trichophoromyia ubiquitalis,4.33,-52.35
12630,Trichophoromyia ubiquitalis,4.37,-52.32
12631,Trichophoromyia ubiquitalis,4.33,-52.35
12632,Trichophoromyia ubiquitalis,4.37,-52.32
12633,Trichophoromyia ubiquitalis,4.37,-52.32
12634,Trichophoromyia ubiquitalis,4.37,-52.32
12635,Trichophoromyia ubiquitalis,4.37,-52.32
12636,Trichophoromyia ubiquitalis,4.33,-52.35
12637,Trichophoromyia ubiquitalis,4.37,-52.32
12638,Trichophoromyia ubiquitalis,5.3,-53.28
12639,Trichophoromyia ubiquitalis,5.35,-53.24
12640,Trichophoromyia ubiquitalis,5.3,-53.28
12641,Trichophoromyia ubiquitalis,5.35,-53.24
12642,Trichophoromyia ubiquitalis,5.35,-53.24
12643,Trichophoromyia ubiquitalis,5.3,-53.28
12644,Trichophoromyia ubiquitalis,5.3,-53.28
12645,Trichophoromyia ubiquitalis,5.3,-53.28
12646,Trichophoromyia ubiquitalis,5.35,-53.24
12647,Trichophoromyia ubiquitalis,5.33,-53.21
12648,Trichophoromyia ubiquitalis,4.04,-52.67
12649,Trichophoromyia ubiquitalis,5.3,-53.28
12650,Trichophoromyia ubiquitalis,5.3,-53.28
12651,Trichophoromyia ubiquitalis,5.3,-53.28
12652,Trichophoromyia ubiquitalis,5.3,-53.28
12653,Trichophoromyia ubiquitalis,5.3,-53.28
12654,Trichophoromyia ubiquitalis,5.3,-53.28
12655,Trichophoromyia ubiquitalis,5.35,-53.24
12656,Trichophoromyia ubiquitalis,5.3,-53.28
12657,Trichophoromyia ubiquitalis,5.3,-53.28
12658,Trichophoromyia ubiquitalis,5.3,-53.28
12659,Trichophoromyia ubiquitalis,5.3,-53.28
12660,Trichophoromyia ubiquitalis,5.3,-53.28
12661,Trichophoromyia ubiquitalis,5.3,-53.28
12662,Trichophoromyia ubiquitalis,5.3,-53.28
12663,Trichophoromyia ubiquitalis,5.3,-53.28
12664,Trichophoromyia ubiquitalis,5.3,-53.28
12665,Trichophoromyia ubiquitalis,5.3,-53.28
12666,Trichophoromyia ubiquitalis,4.04,-52.67
12667,Trichophoromyia ubiquitalis,5.3,-53.28
12668,Trichophoromyia ubiquitalis,4.04,-52.67
12669,Trichophoromyia ubiquitalis,5.3,-53.28
12670,Trichophoromyia ubiquitalis,5.3,-53.28
12671,Trichophoromyia ubiquitalis,5.3,-53.28
12672,Trichophoromyia ubiquitalis,4.04,-52.67
12673,Trichophoromyia ubiquitalis,5.3,-53.28
12674,Trichophoromyia ubiquitalis,4.04,-52.67
12675,Trichophoromyia ubiquitalis,4.04,-52.67
12676,Trichophoromyia ubiquitalis,5.3,-53.28
12677,Trichophoromyia ubiquitalis,5.3,-53.28
12678,Trichophoromyia ubiquitalis,5.3,-53.28
12679,Trichophoromyia ubiquitalis,5.3,-53.28
12680,Trichophoromyia ubiquitalis,5.3,-53.28
12681,Trichophoromyia ubiquitalis,5.3,-53.28
12682,Trichophoromyia ubiquitalis,4.04,-52.67
12683,Trichophoromyia ubiquitalis,5.3,-53.28
12684,Trichophoromyia ubiquitalis,5.3,-53.28
12685,Trichophoromyia ubiquitalis,5.35,-53.24
12686,Trichophoromyia ubiquitalis,5.3,-53.28
12687,Trichophoromyia ubiquitalis,5.3,-53.28
12688,Trichophoromyia ubiquitalis,5.3,-53.28
12689,Trichophoromyia ubiquitalis,5.3,-53.28
12690,Trichophoromyia ubiquitalis,4.04,-52.67
12691,Trichophoromyia ubiquitalis,5.3,-53.28
12692,Trichophoromyia ubiquitalis,5.3,-53.28
12693,Trichophoromyia ubiquitalis,3.89,-52.57
12694,Trichophoromyia ubiquitalis,3.89,-52.57
12695,Trichophoromyia ubiquitalis,3.89,-52.57
12696,Trichophoromyia ubiquitalis,3.89,-52.57
12697,Trichophoromyia ubiquitalis,3.89,-52.57
12698,Trichophoromyia ubiquitalis,3.89,-52.57
12699,Trichophoromyia ubiquitalis,3.89,-52.57
12700,Trichophoromyia ubiquitalis,3.89,-52.57
12701,Trichophoromyia ubiquitalis,-6.9575,-66.3075
12702,Trichophoromyia ubiquitalis,-6.8925,-66.201111
12703,Trichophoromyia ubiquitalis,-6.8925,-66.201111
12704,Trichophoromyia ubiquitalis,-6.8925,-66.201111
12705,Trichophoromyia ubiquitalis,-6.8925,-66.201111
12706,Trichophoromyia ubiquitalis,-6.8925,-66.201111
12707,Trichophoromyia ubiquitalis,-6.8925,-66.201111
12708,Trichophoromyia ubiquitalis,-6.8925,-66.201111
12709,Trichophoromyia ubiquitalis,-6.8925,-66.201111
12710,Trichophoromyia ubiquitalis,-6.8925,-66.201111
12711,Trichophoromyia ubiquitalis,-6.8925,-66.201111
12712,Trichophoromyia ubiquitalis,-6.8925,-66.201111
12713,Trichophoromyia ubiquitalis,-6.8925,-66.201111
12714,Trichophoromyia ubiquitalis,-6.8925,-66.201111
12715,Trichophoromyia ubiquitalis,-6.8925,-66.201111
12716,Trichophoromyia ubiquitalis,-6.8925,-66.201111
12717,Trichophoromyia ubiquitalis,-6.8925,-66.201111
12718,Trichophoromyia ubiquitalis,-6.8925,-66.201111
12719,Trichophoromyia ubiquitalis,-6.8925,-66.201111
13064,Trichophoromyia ubiquitalis,-2.635,-44.148056
13192,Pintomyia nuneztovari,7.914222709,-72.80668074
17278,Pintomyia nuneztovari,7.9142,-72.8067
18045,Trichophoromyia ubiquitalis,-6.8925,-66.2011
18046,Trichophoromyia ubiquitalis,-2.635,-44.1481
18139,Pintomyia nuneztovari,-12.9637562,-72.661881
18140,Pintomyia nuneztovari,-11.042639,-69.5735
18220,Trichophoromyia ubiquitalis,-12.8622,-69.862
18221,Trichophoromyia ubiquitalis,-12.7155,-69.4277
18359,Trichophoromyia ubiquitalis,-11.042639,-69.5735
